company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored,emails
26 BRIX LLC,Other,26-brix.com,CALISTOGA,CA,94515,(858) 756-5614,,,,"Bill Edward Cameron, Harry Edward Keys, Jim Edward Borsack, William Edward Reisler",1800000,1800000,Pre-Seed,30-12-2013,,,,,,hello@bullet-consulting.com
280 CAPMARKETS LLC,Other Banking and Financial Services,280capmarkets.com,SAN FRANCISCO,CA,94105,(415) 710-2015,2016,9,"David Rudd, David S. Rudd, Gurinder Ahluwalia, Gurinder S. Ahluwalia, Tom Lockard, Tom S. Lockard",,27500000,5000000,Pre-Seed,10-12-2019,,,,,,info@insperex.com
2D2C INC,Other Technology,2d2c.com,LINCOLNSHIRE,IL,60069,(847) 543-0980,,,"Paul E. Schulz, Steven E. Montgomery","Fredrick E. Streicher, Gregory E. Baker, Jeff E. Kost, John E. Bitzer III, Tom E. Latanision",2516990,1000000,Pre-Seed,17-08-2016,,,,,,contact@info.com
305 FITNESS INC,Other,305-fitness.com,NEW YORK,NY,10011,(212) 475-0425,2012,13,"Benjamin Kurzban, Ira Kurzban, Sadie Kurzban, Samuel Karshenboym","Derek Flanzraich, Sarah Foley",16550000,8000000,Series A,22-11-2019,,,,,,info@305fitness.com
32 BIOSCIENCES INC,Biotechnology,32biosciences.com,ILLINOIS,IL,60064,18479225332,2023,2,Peter Farmakis,"Brian Yoor, Eugene C. Chang, Jaime Contreras, John C. Alverdy, Joseph Francis Pierre",6000000,6000000,Pre-Seed,21-05-2024,,,,,,info@32biosciences.com
3D HUBS INC,Other Technology,3dhubs.com,NEW YORK,NY,10017,13479668024,2014,11,"Abram (Gerhard Julius) de Zwart, Abram Gerhard Julius de Zwart, Brian (Garret) Schuur, Brian Garret Schuur","Filemon (Garret) Schoffer, James (Garret) Wise, Ted (Garret) Persson",23139992,19639992,Series B,26-02-2019,,,,,,networksupport@protolabs.com; networksecurity@protolabs.com
3DILIGENT CORP,Other Technology,3diligent.com,El Segundo,CA,90245-4117,(310) 693-3051,2020,5,Cullen Hilkene,Scott Hilkene,4243201,4243201,Seed,01-08-2020,,,,,,shivam@trustbridge.pro
4 IMPACT DATA INC,Other Technology,4impactdata.com,DALLAS,TX,75254,(214) 914-6010,2022,3,"Chris Hagans, Eric Eager, Marty Carney",,7000000,5000000,Pre-Seed,27-11-2023,,,,,,support@4impactdata.com
4D MOLECULAR THERAPEUTICS INC,Biotechnology,4dmoleculartherapeutics.com,EMERYVILLE,CA,94608,(510) 505-2680,2015,10,"David Kirn, David Kirn, M.D., David Schaffer, Ph.D.,, Leisa Johnson, Ph.D., Peter Francis, M.D., Theresa Janke","Charles Theuer, Ph.D., David Schaffer, Hoyoung Huh, M.D., Ph.D., Margi McLaughlin, Margi McLoughlin, Sharon Tetlow, Tony Yao",108593871,89999874,Series C,27-08-2018,,,,,,info@4dmt.com
4D HEALTHWARE LLC,Other Health Care,4dhealthware.com,CHICAGO,IL,60611,(847) 650-7827,,,STAR CUNNINGHAM,,2107865,2107865,Seed,12-07-2016,,,,,,info@4dhealthware.com
4D PATH INC,Other Health Care,4d-path.com,NEWTON,MA,2459,(617) 803-1619,2016,9,"Cristiano Jose Leao, Nicholas Jose Bero, Rodrigo Jose Navarro, Satabhisa Jose Mukhopadhyay, Tathagata Jose Dasgupta","Mario Jose Pinto, Roberto Jose Engels, Roberto Jose Lagana, Satabhisa Jose Mukhopadhyay, Tathagata Jose Dasgupta",24473052,16973052,Series A,24-04-2023,,,,,,partnerships@4dpath.com
4SIGHT LABS INC,Other Technology,4sightlabs.com,San Francisco,CA,94114,(415) 577-5600,2020,5,"Ian Osteyee, John DeFalco",Charles Henick,7755344,7755344,Series A,16-09-2022,,,,,,support@4sightlabs.com
4TECH INC,Biotechnology,4tech.com,Newton,MA,2466,(781) 642-7600,2011,14,Carine Schorochoff,"Benjamin Tsai, Eric Le Royer, Jan Pensaert, Lawrence C. Best, Rudi Marien",28852767,28852767,Series B,08-12-2015,,,,,,info@4tech.com
5TH PLANET GAMES INC,Other Technology,5thplanetgames.com,ROCKLIN,CA,95765,(650) 233-4500,2011,14,Robert Winkler,,5000000,5000000,Pre-Seed,11-07-2014,,,,,,info@5thplanetgames.com
5THCOLUMN LLC,Other Technology,5thcolumn.com,CHICAGO,IL,60654,(312) 521-2000,,,"Chad Freese, John Morris, Raymond Hicks, Richard Valin",Christopher Galvin,14000039,14000039,Series A,07-10-2020,,,,,,hello@uncommonx.com
6888 MUSICAL LLC,Other,6888musical.com,NEW YORK,NY,10036,(212) 739-7875,2022,3,"Holly Garman, Joseph Trentacosta",,,,,,,,,,,6888musical@gmail.com
65BIO INC,Biotechnology,65bio.com,WELLESLEY,MA,2481,(781) 591-8927,2020,5,Jonathan Reis,"Daniel Gressel, Joseph Baron",4000000,4000000,Pre-Seed,16-07-2020,,,,,,info@165bio.com
7 HILLS PHARMA INC,Pharmaceuticals,7hillspharma.com,HOUSTON,TX,77021-2041,(832) 439-6612,,,"Robert A. Bent, Stephen A. Bent, Upendra Marathi","Joseph Bailes, Kala Marathi",5000000,5000000,Pre-Seed,09-05-2024,,,,,,Contact@7HillsPharma.com
831 STORIES INC,Other,831stories.com,New York,NY,10016,(302) 598-9896,2023,2,"Claire Elizabeth Mazur, Erica Lynn Cerulo",,4295000,4295000,Seed,01-08-2025,,,,,,hello@831stories.com
858 THERAPEUTICS INC,Pharmaceuticals,858therapeutics.com,SAN DIEGO,CA,92121,(858) 987-8380,2019,6,"James J. Veal, James Veal, Jeffrey A. Stafford, Katherine Bell-McGuinn, Stafford Jeffrey","Ali A. Behbahani, Ali Behbahani, Bradley J. Bolzon, Carlo Rizzuto, Clare J. Ozawa, Clare Ozawa, Jane Huang, Monal Mehta",127850493,50350497,Series B,26-06-2024,,,,,,info@8five8tx.com
98POINT6 INC,Other Technology,98point6.com,SEATTLE,WA,98104,(866) 657-7991,2015,10,"Jeffrey Greenstein, John Burrell, LAURIE CANSLER, Laurie Cansler, Leila Kirske, ROBERT CAPE, Robert Cape, Tori Lallemont","David Viniar, Jeffrey Greenstein, Jim Sinegal, Laurence Fink, Michael Farello, Nader Naini, Regina Benjamin, Sarah Smith",354352889,55000000,Series B,23-08-2022,,,,,,media@98point6.com
99BRIDGES INC,Other Technology,99bridges.com,SARATOGA,CA,95070,(408) 506-8809,2019,6,Derek Mak,,1000000,1000000,Pre-Seed,20-08-2021,,,,,,Info@99bridges.com
98POINT6 TECHNOLOGIES INC,Other Technology,98point6.com,SEATTLE,WA,98104,(206) 714-6069,2023,2,"Harry Angelo Gray, Jr., John Burrell, Melanie Curtice","David Angelo Viniar, Jeffrey Angelo Greenstein, Jim Angelo Sinegal, Laurence Angelo Fink, Michael Angelo Farello, Nader Angelo Naini, Regina Angelo Benjamin, Sarah Angelo Smith",41400000,1400000,Pre-Seed,05-01-2024,2,0,100,211141,['Senior Engineering Manager'],media@98point6.com
9ZERO INC,Other,9zero.com,SANTA BARBARA,CA,93105,(415) 269-4972,2023,2,"Duncan Logan, Matthew Joehnk",,5000000,5000000,Pre-Seed,23-10-2023,,,,,,teamsf@9zero.com; seattle@9zero.com
A PROTOCOL INC,Other Technology,a-protocol.com,SAN FRANCISCO,CA,94110,(510) 421-3392,2017,8,Rene Reinsberg,"Marek Olszewski, Sepandar Kamvar",30674997,30674997,Series B,21-12-2018,,,,,,scentdiah@scentdiah.com
9AMHEALTH INC,Other Health Care,9amhealth.com,ENCINITAS,CA,92024,(650) 338-8324,2021,4,"ANTON KITTELBERGER, Anton Kittelberger, Avantika Waring, Bernhard Schandl, FRANK WESTERMANN, Frank Westerman, Frank Westermann, Michael Hofner, PAUL GEEVARGHESE, Paul Geevarghese","Craig Cimini, Glen Tullman",31998258,9565085,Series A,29-01-2024,,,,,,cs@fuli-power.com
A2 BIOTHERAPEUTICS INC,Biotechnology,a2-biotherapeutics.com,AGOURA HILLS,CA,91301,(805) 491-1988,2017,8,"Alexander Kamb, David S. Lucas, Scott Foraker, Thomas S. Leung, William S. Go","C. Alexander Kamb, David Goeddel, Helen S. Kim, Jakob S. Loven, Madhavan Balachandran, Michael Gallo, Srini Akkaraju, Susan L. Kelley",143132204,71605105,Series C,04-11-2022,,,,,,info@a2bio.com
A-ALPHA BIO INC,Other Technology,aalphabio.com,SEATTLE,WA,98195,(206) 890-9704,2017,8,David Younger,"Ben Askew, Matt McIlwain, Randolph Lopez Barrezueta",23134914,20289926,Series B,24-08-2021,,,,,,contact@aalphabio.com
A10 NETWORKS INC,Telecommunications,a10networks.com,SAN JOSE,CA,95134,(408) 325-8668,2013,12,"Greg J. Straughn, Lee Y. Chen, Neil Wu Becker, Rajkumar J. Jalan, Robert Y. Cochran","Alan S. Henricks, Peter Y. Chung, Phillip J. Salsbury",1505415,1505415,Pre-Seed,23-06-2016,106,4,96.36363636,140342.75,"['Solutions Architect', 'Staff Software Engineer', 'Senior Software Engineer', 'Sr. Manager, Technical Support', 'Principal QA Software Engineer', 'Software Engineer ']",marketing-latam@a10networks.com; EMEA@A10Networks.com; APAC@a10networks.com; jinfo@a10networks.com; latam_sales@a10networks.com
AA-TEAM LLC,Investing,aa-team.com,LOS ANGELES,CA,90069,(347) 604-1823,2017,8,"Alfred Vericel, Helene Huby, Luc-Emmanuel Barreau",,5882625,5882625,Series A,12-06-2017,,,,,,office@aa-team.com
AAVENIR INC,Other Technology,aavenir.com,PLANO,TX,75025,(408) 554-2656,2019,6,Jesal Bhargavbhai Mehta,,6000000,6000000,Series A,03-02-2022,,,,,,careers@aavenir.com; contact@aavenir.com; support@aavenir.com
ABCURO INC,Biotechnology,abcuro.com,NEWTON,MA,2458,(617) 714-9759,2015,10,"David de Graaf, Evan Thompson, John Alexander Martin, K. Evan Thompson, Richard Alexander Motschwiller, Stefano Gulla","Daniel Mansuri, Donald Alexander McCarthy, Donald McCarthy, Jason Alexander Hafler, Jason Hafler, John Edwards, Julius Alexander Knowles, Julius Evan Knowles, Julius Knowles, Mark Alexander Pruzanski, Michele Alexander Park, Nalan Evan Utku, Rajeev Alexander Shah, Robert Evan Millman, Ryan Berry, Sarah Alexander Boyce, Tomer Alexander Kariv, Yajun Evan Xu, Yajun Xu",471772620,199999869,Series C,07-02-2025,,,,,,IR@abcuro.com; corporate.contact@abcuro.com; partnering@abcuro.com
ABFERO PHARMACEUTICALS INC,Biotechnology,abferopharmaceuticals.com,LEXINGTON,MA,2421,(781) 266-7297,2016,9,"Steven X Burke, Steven X. Burke, Thomas X Neenan, Thomas X. Neenan","Michael X Penington, Michael X. Penington",4000000,1000000,Pre-Seed,22-03-2021,,,,,,info@AbFero.com; info@abfero.com; info@Abfero.com
ABILITA BIO INC,Biotechnology,abilitabio.com,SAN DIEGO,CA,92121,(858) 246-6778,,,Mauro Mileni,,7500000,7500000,Series A,09-12-2022,,,,,,info@abilitatx.com
ABBVIE INC,Pharmaceuticals,abbvie.com,North Chicago,IL,60064-6400,(847) 932-7900,2012,13,"Azita J. Saleki-Gerhardt, Henry E. Gosebruch, Michael E. Severino, Thomas A. Hurwich, Timothy J. Richmond","Edward M. Liddy, Frederick H. Waddell, Glenn F. Tilton, Robert J. Alpern, Roxanne S. Austin",3800000000,3800000000,Series D+,25-04-2016,1090,18,98.37545126,125000,"['SENIOR SCIENTIST I', 'ASSOCIATE DIRECTOR, INNOVATION', 'Service Operations Manager', 'Senior Statistician', 'SENIOR SCIENTIST I, CHEMISTRY', 'Technology Architect II - PEGA Platform', 'Sr. Engineer, Technology II', 'Scientific Associate III', 'Senior Scientist II, Engineering', 'Postdoctoral Fellow']",customerservice@abbvie.com
ABLE HEALTH INC,Other Technology,able-health.com,SAN FRANCISCO,CA,94103,(805) 288-0240,2015,10,"Rachel Katz, Steven Daniels",,3876832,3876832,Seed,20-03-2019,,,,,,services@able-health.com; info@able-health.com
ABLATIVE SOLUTIONS INC,Other Health Care,ablativesolutions.com,Wakefield,MA,1880,(732) 758-9574,2011,14,"David R. Fischell, Kate R Rumrill, Kate R. Rumrill, Lisa R Mastromattei, Lisa R. Mastromattei, Nicole D. Haratani, Nicole L. Haratani, Phillip D. Torrence, Ronald D Bache, Tim A. Fischell, Vartan E. Ghazarossian","Andrew D. Tochterman, Andrew R. Tochterman, Dale D. Grogan, Dale L. Grogan, David K. Rosen, David R Fischell, David R. Fischell, Geoff D. Pardo, Geoff R Pardo, Geoff R. Pardo, John R. Kerschen, Louis R Cannon, Michael R. Fulton, Nathan R Harrington, Paul D. Buckman, Paul L. Buckman, Paul R Buckman, Paul R. Buckman, Ronald D. Bache, Steven L. Almany",274226095,45457118,Series B,18-12-2024,,,,,,clinical-US@ablativesolutions.com; clinical-EU@ablativesolutions.com; hr@ablativesolutions.com; info@ablativesolutions.com
ABNORMAL SECURITY CORP,Other,abnormalsecurity.com,SAN FRANCISCO,CA,94107,(415) 413-1172,2018,7,"Evan Reiser, Sanjay Jeyakumar","Asheem Chandna, Rajiv Gupta, Saam Motamedi, Stephen Ward, Venky Ganesan",383999961,300000009,Series D+,07-03-2022,,,,,,peopleops@abnormalsecurity.com; media@abnormalsecurity.com
ABSOLUTE SIGN HOLDINGS LLC,Other,absolutesign.com,DALLAS,TX,75229,(214) 532-6138,2025,0,"Christopher Mosley, John Toomay",,6000000,6000000,Series A,04-04-2025,,,,,,support@absolutesign.com
ABYA CORP,Other Technology,abya.com,EAST SETAUKET,NY,11733,(631) 487-7498,2018,7,"Franco Miceli, Waldemar Fernandez",Nicolas Jodal,5671000,1971000,Pre-Seed,01-10-2021,,,,,,investors@abya.com; abya@abya.com
ABT HOLDINGS INC,Other,abtholdings.com,PASADENA,CA,91105,(818) 302-0100,,,"Imran Firoz, Shahan Ohanessian","Artin Ohanessian, Lance Brinker, Mahesh Shetty, Shoushana Ohanessian, Sonya Firoz",7000000,2000000,Seed,31-01-2017,,,,,,service@atom.com
ACAI TRAVEL INC,Other Technology,acaitravel.com,NEW YORK,NY,10024,(917) 832-4509,2023,2,"Henry Chen Weinstein, Riccardo Vittoria",,3300000,3300000,Seed,29-08-2024,,,,,,hello@acaitravel.com
ACADIA ENERGY CORP,Other Energy,acadiaenergy.com,ROCHESTER,NY,14618,(888) 849-6090,2016,9,"Heather Novak, John Bay, Mark D Smith, Steve Schmitt",,,,,,,,,,,info@acadiaenergy.com
ACADEMIA INC,Other Technology,academia.com,SAN FRANCISCO,CA,94108,(415) 829-2341,2011,14,Richard Price,"Anthony Duffy, Ben Ling, Bijan Sibet",11017508,11017508,Series A,09-08-2013,10,0,100,155000,['Software Engineer'],premium-support@academia.edu
ACCELA INC,Other Technology,accela.com,SAN RAMON,CA,94583,(925) 659-3201,,,"Colin Samuels, Jeffrey Tung, John Alves, Maury Blackman","Blair Greenberg, Daniel Kim, Derek Chau, Rudy Karsan, Tyler Wick, Wai Yan Sandy Chau",191500062,183500000,Series D+,13-02-2015,4,0,100,127722,"['Sr. Program Manager', 'Computer Systems Engineer (Solution) ', 'Software Developer (Product Manager)', 'Sr. Dev Ops Engineer']",support-MEA@accela.com; procurement@accela.com
ACCELERA INC,Other,accelera.io,SANTA CLARA,CA,95054,(408) 498-5500,2011,14,"Andrew Hartland, Ihab Abu-Hakima","Andrea Goldsmith, Fahri Diner, Todd Dagres",14030198,14030198,Series A,16-05-2014,,,,,,hello@accelera.io
ACCELERGY CORP,Other Energy,accelergy.com,HOUSTON,TX,77008,(281) 944-3680,,,John Rockwell,"Bryant Tong, Ira Ehrenpreis, Rocco Fiato, Stu Ostlund",12141076,6389396,Pre-Seed,25-05-2016,,,,,,contact@accelergy.com
ACCELERATE TAX HOLDINGS LLC,Other,accelerate-tax.com,NEW YORK,NY,10018,(212) 390-0131,2022,3,"Adam Young, Gino Ramadi","Brian Chase, Nicholas Davidoff, Stephen Cheng",10000000,10000000,Series A,07-11-2022,,,,,,customerservice@acceleratetax.com
ACCELLION INC,Other,accellion.com,PALO ALTO,CA,94303,(650) 485-4300,,,"Glen Segal, Jonathan Yaron","Joshua Kuma, Michael Kosty, Patrick Cordes",60000000,60000000,Series C,23-03-2020,,,,,,sales@kiteworks.com; support@kiteworks.com
ACCIOJOB INC,Other Technology,acciojob.com,SAN FRANCISCO,CA,94107,(650) 843-0988,2018,7,Yashwardhan Burad,"Harsh Sharma, Priyanshu Agarwal, Vishu Bansal",2710000,2710000,Seed,31-08-2023,,,,,,contactus@acciojob.com
ACCOMPANI INC,Other Technology,accompani.com,LOS ALTOS,CA,94024,(650) 200-0799,2013,12,Amy Chang,"Devdutt Yellurkar, Jan Ruhl",15050061,15050061,Series B,21-07-2014,,,,,,press@accompany.com; questions@accompany.com
ACCORD GROUP HOLDINGS LLC,Investing,accord-group.com,SAN FRANCISCO,CA,94108,(628) 218-7979,2013,12,"Desi Co, Desi G. Co, Jeffrey R. Sobczynski, Jeffrey Sobczynski, Jon Berquist, Jon R. Berquist, Jonathan Paul Jackson",Stonington Cox,9320000,4000000,Seed,30-11-2020,,,,,,info@accord-group.com
ACCRETE INC,Computers,accrete.com,NEW YORK,NY,10004,(917) 607-4268,2020,5,"PRASHANT BHUYAN, Prashant Bhuyan","KEN FRIED, Ken A. Fried, Robert J. Hugin, Samuel A. Cole",45000000,15000000,Seed,10-03-2025,,,,,,info@accrete.com
ACCRETE LLC,Computers,accrete.com,NEW YORK,NY,10004,(929) 269-5880,2017,8,"Mayank Patel, Prashant Bhuyan",,10499989,3749994,Seed,30-12-2020,,,,,,info@accrete.com
ACCRUAL INC,Other Technology,accrual.com,BEVERLY HILLS,CA,90210,(310) 461-8697,2024,1,"Cosmin Nicolaescu, Siddarth Chandrasekaran",Marc Bhargava,16999992,16999992,Series B,04-11-2024,,,,,,sales@accrual.com
ACCRUEME LLC,Investing,accrueme.com,PEARL RIVER,NY,10965,(845) 598-4170,2018,7,"Donald Henig, Eric Kotch","Benjamin Kotch, Gary Lieberman, Samuel Kotch",6000000,3000000,Pre-Seed,22-02-2022,,,,,,team@accrueme.com
ACCUMATIC INC,Other Technology,accumatic.com,KIRKLAND,WA,98033,(425) 637-8559,2020,5,"Ben Goux, Tobey Bryant",Jared Vogt,6250000,2000000,Pre-Seed,09-02-2024,,,,,,info@veramatic.com; info@veramatic.io
ACCUVEIN INC,Other Health Care,accuvein.com,MEDFORD,NY,11763,(631) 367-0393,,,"Christopher Hutchison, Chuck Johnson, Kevin McArdle, Ron Goldman","Akhilesh Pathipati, Brian Verrier, Christopher Gabrieli, Eric Bednarski, Frank Flaunt III, Frank Flaut III, Heather Rohan, Hugo Harrod, James Lackie, Rudy Mazzochi, Stephen Reeders",70918228,5400000,Seed,30-01-2023,,,,,,education@accuvein.com; hello@accuvein.com; service@accuvein.com; clinicalaffairs@accuvein.com
ACE METRIX INC,Other,acemetrix.com,MOUNTAIN VIEW,CA,94043,(800) 279-7984,,,Peter Daboll,"Ann Winblad, George Rogers, Greg Drew, Jim Gauer, Pete Sinclair",12044491,12044491,Series A,18-05-2012,,,,,,info@acemetrix.com
ACE VISION GROUP INC,Other,ace-vision.com,BOSTON,MA,2108,(234) 738-4074,,,Dr. AnnMarie Hipsley,"Bobby V. Abraham, Frank L. Chen, Frank V. Chen, James J. Simms, Jay F. Joliat, Jim F. Simms, Joseph G. Carroll, Joseph V. Carroll, Robert G. Hadley, Jr., Robert V. Hadley, Jr.",38000000,3000000,Seed,28-02-2023,,,,,,info@ace-vision.com
ACELOT INC,Other,acelot.com,SOUTH SAN FRANCISCO,CA,94080,(628) 310-8945,2021,4,"Catherine Planey, Ed O'Sullivan","Ambuj Singh, Michael Duca",12700000,8700000,Series A,07-11-2024,,,,,,info@acelot.com
ACESIS INC,Other Health Care,acesis.com,Los Gatos,CA,95030,(650) 396-7540,,,Kevin B. Chesney,"A. Joel Feldman, C. Bradford Kelly, John Bradford Stewart",3070099,3070099,Seed,01-11-2023,4,0,100,165000,['Technical Director'],info@acesis.com
ACHAOGEN INC,Biotechnology,achaogen.com,SOUTH SAN FRANCISCO,CA,94080,(650) 800-3636,,,"Blake R. Wise, Blake W. Wise, Gary W. Loeb, Ian R. Friedland, Kenneth J. Hillan, Lee C. Swem, Tobin C. Schilke, Zeryn R. Sarpangal","Alan B. Colowick, Bryan E. Roberts, Christopher T. Walsh, Gregory W. Stea, John C. Doyle, John W. Smither, Kent E. Lieginger, Michael C. Fischbach",42769960,9999976,Series A,05-05-2017,,,,,,Plazomicin@tannerpharma.com; drugsafety@cipla.com
ACORN LLC,Other Technology,acorn.com,BOSTON,MA,2116,(617) 546-5444,2021,4,Daniel Schiff,Jeffrey Tulman,2500000,2500000,Pre-Seed,10-01-2023,,,,,,customercare@acorn.com
ACQUIA INC,Other Technology,acquia.com,BURLINGTON,MA,1803,(888) 922-7842,,,"Dries N. Buytaert, Michael N. Cayer, Thomas N. Erickson, William N. Sorenson","Brian N. Paul, Christine N. Komola, Michael N. Skok, Paul N. Sallaberry, Ravi N. Viswanathan, Richard N. D'Amore, Thomas N. Bogan, Tom N. Bogan",105000000,54999995,Series C,22-09-2015,18,0,100,165000.16,"['Staff Software Engineer', 'Senior Software Engineer', 'Lead Implementation Consultant']",security@acquia.com; gdpr@acquia.com; privacy@acquia.com
ACTELIS NETWORKS INC,Telecommunications,actelisnetworks.com,FREMONT,CA,94538,(510) 545-1045,,,"Bret Harrison, Eyal Aharon, Hemi Kabir, Michal Winkler-Solomon, Tuvia Barlev, Yaron Altit","Frederic Veyssiere, Ghia Griarte, Gideon Marks, Hatch Graham, Israel Niv, Julie Kunstler, Martin Kaplan, Niel Ransom, Ram Vromen, Robin Murray, Yariv Gilat, Zohar Alon",12508209,2508207,Seed,03-09-2025,,,,,,info@actelis.com
ACTION-CS INC,Other Technology,action-cs.com,MARYSVILLE,WA,98270,(206) 237-7250,2020,5,Justin Gant,Christiane Laakmann,1500000,1500000,Pre-Seed,29-08-2024,,,,,,sales@action-cs.com; %20sales@action-cs.com
ACTIONSPROUT INC,Other Technology,actionsprout.com,BELLINGHAM,WA,98225,(866) 298-1739,2012,13,"Drew Robert Bernard, Shawn Wade Kemp",Chris Wade Finley,1704571,1704571,Pre-Seed,15-12-2014,,,,,,contact@actionsprout.com
ACTIVEAETHER INC,Computers,activeaether.com,NEW YORK,NY,10017,(212) 561-1345,,,"Allan P. Boyd, Robert F. MacInnis",,4500000,4500000,Seed,04-02-2018,,,,,,partners@activeaether.com; partners@activeaether.com.
ACTIVE MOTIF INC,Other Health Care,activemotif.com,CARLSBAD,CA,92008,(760) 431-1263,,,"Patrick Yount, Theodore DeFrank","August M. Sick, Joseph M. Fernandez, Mary M. Janatpour, Stephanie M. Liva, Tammy M. Brach",22000000,22000000,Series A,08-09-2021,,,,,,info@activemotif.com
ACTUATE THERAPEUTICS INC,Pharmaceuticals,actuatetherapeutics.com,FORT WORTH,TX,76107,(817) 887-8455,2015,10,"Andrew G.L. Mazar, DANIEL M SCHMITT, Daniel M Schmitt, Daniel M. Schmitt, Daniel Schmitt, Paul Lytle","AARON GLENN LOUIS FLETCHER, ALEX WAYNE ANDRIANOPOULOS, Aaron Fletcher, Aaron G.L. Fletcher, Aaron Glenn Louis Fletcher, Alex Wayne Andrianopoulos, Amy G.L. Ronneberg, Dan Wayne Zabrowski, Dan Zabrowski, Daniel G.L. Zabrowski, Jason G.L. Keyes, LESLIE WAYNE KREIS JR., LESLIE WAYNE KREIS, JR., Leslie Kreis, Jr., Leslie Wayne Kreis, Jr., NEIL WAYNE BAJPAYEE, Pascal Wayne Krotee, Roger G.L. Sawhney, Todd G.L. Thomson, Todd Thomson, Todd Wayne Thomson",210308110,9330958,Seed,27-06-2025,,,,,,info@actuatetherapeutics.com
ACTNANO INC,Other Technology,actnano.com,CAMBRIDGE,MA,2140,(857) 333-8631,2020,5,"Ivan Ardemagni, James F. Sheridan, Jr., James Sheridan, Jr., Justin Kleingartner, S. Taymur Ahmad, William Brewer","Adam Sharkawy, Gina Domanig, Joachim Drees, Kaj den Daas, Kasper Sage, Lothar Maier, Neil Cameron, Onur Gokur, Pat Bartling, Patrick Bartling, Robert Dobkin",70657051,35079808,Series B,28-03-2024,,,,,,info@actnano.com
ACTON INC,Other Technology,acton.com,MONROVIA,CA,91016,(323) 250-0685,2011,14,"Janelle Wang Treadway, Peter A. Treadway",Ping A. Wu,5870000,3270000,Seed,31-10-2018,,,,,,info@samplesamp.com
