company_name,industry,website,city,state,zip_code,phone,year_incorporated,company_age_years,executive_officers,board_directors,total_funding,latest_funding_amount,latest_funding_stage,latest_funding_date,Total Approvals,Total Denials,Approval_Rate,median_salary_offered,top_job_titles_sponsored
10TALES INC,Other Technology,10tales.com,MENLO PARK,CA,94025,(650) 489-5857,2014,11,David Russek,Jeremy Levine,1250000,1250000,Pre-Seed,10-12-2014,,,,,
11 HONORE INC,Other,11honore.com,LOS ANGELES,CA,90046,(415) 577-3878,2017,8,Patrick Herning,"Dana Reed Settle, Kathryn Reed Retzer, Medha Reed Agarwal",14872081,11372081,Series A,09-03-2018,,,,,
11 RONIIN LLC,Other Technology,,Chicago,IL,60611,(312) 834-3522,2014,11,"Paul Lee, Russ Fradin, Sam Yagan",,10000000,10000000,Pre-Seed,11-02-2016,,,,,
111 COMMERCIAL COURT INVESTORS LP,Other,,SANTA BARBARA,CA,93101,(805) 456-5100,2017,8,"Andrew Firestone, Associates, LLC 111 Commercial Court, Court Associates, LLC 111 Commercial, Jess Parker",,6908063,4908063,Seed,24-10-2024,,,,,
112 CAPITAL HH LLC,Other,,BELMONT,CA,94002,(415) 787-5112,2020,5,Shelley Zhuang,,7500000,7500000,Series A,23-12-2020,,,,,
112 VENTURES LLC,Investing,112ventures.com,Highland Park,IL,60035,(847) 997-0077,2020,5,"DMITRY EDWARD VALBE, GARY EDWARD SCHEIER, Kurt Nels Johnson",,100000000,100000000,Pre-Seed,21-10-2020,,,,,
1125 GARDEN STREET HOTEL INVESTORS LP,Other,,SANTA BARBARA,CA,93101,(805) 451-5100,2023,2,"Andrew Firestone, Hotel Associates, LLC 1125 Garden Street, Jess Parker",,10000000,10000000,Series A,17-02-2023,,,,,
1136 31ST AVE S LLC,Other,,SEATTLE,WA,98101,(206) 931-2535,2018,7,MATTHEW GARRETT HERRON,,1250000,1250000,Pre-Seed,27-03-2018,,,,,
1155 ISLAND AVENUE LLC,Other,,NEW YORK,NY,10022,(212) 284-4300,2014,11,"R. Barry McComic, Thomas K. Wright","Francis Blair, Frederick Chin, James McGinley",55989485,55989485,Series C,11-12-2014,,,,,
1200 PHARMA LLC,Other Technology,,PASADENA,CA,91101,(626) 548-8304,2017,8,"DAVID LICATA, David Licata, LEE SAILOR, Lee Sailor",,18000000,5500000,Series A,26-11-2019,,,,,
122UP VENTURE LLC,Investing,,SANTA CLARA,CA,95054,(415) 601-8079,2022,3,"Junguang Pan, Wei Guo",,2750000,2750000,Seed,01-09-2022,,,,,
123 SEE INC,Other Technology,123see.com,BOSTON,MA,2109,(937) 232-8922,2021,4,"JACK MOLDAVE, Jack Moldave, MATTHIAS HOFMANN, Matthias Hofmann","AXEL BICHARA, Axel Bichara, CAITLIN DONOVAN",30429921,22144918,Series B,01-07-2025,,,,,
1251 CAPITAL GROUP INC,Other Banking and Financial Services,1251capitalgroup.com,BOSTON,MA,2116,(617) 273-9482,2014,11,"Charles A. Brizius, Christopher A. R. Maguire, Christopher J. Maguire, John T Hailer, Matthew A. Paul, Michael A. R. Wilson","Edmund F. Garno III, James J. Maguire, Michael D. Hankin, P. Andrews McLane, Sean S. Sweeney",450000000,50000000,Series B,14-07-2022,,,,,
128 MAIN STREET LLC,Lodging and Conventions,,CONCORD,MA,1742,(978) 369-4884,2013,12,"John B. Amaral, John P. Nicholson, Peter B. Twachtman",,9000000,9000000,Series A,28-04-2017,,,,,
128 TECHNOLOGY INC,Other Technology,128technology.com,BURLINGTON,MA,1803,(781) 203-8400,2014,11,"Andrew D. Ory, Julio E. Vega, Julio J. Vega, Patrick D. MeLampy, Patrick J. MeLampy","Robert C. Hower, Sonja C. Perkins",112684401,20000000,Series B,20-05-2020,,,,,
12TH AVE LENDERS LLC,Other,,ISSAQUAH,WA,98027,(425) 677-8574,2016,9,Kurt Ursich,,6950000,6950000,Series A,20-12-2016,,,,,
13011 WIRE RD LP,Other,,AUSTIN,TX,78731,(512) 750-5844,2017,8,Jonathan Patton,,1150000,1150000,Pre-Seed,19-05-2017,,,,,
13030 CAPE LP,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022,3,"Arleen Garza, Jacob Garza",,,,,,,,,,
1366 TECHNOLOGIES INC,Other Technology,1366.com,BEDFORD,MA,1730,(781) 861-1611,,,Franciscus J.A. van Mierlo,"Amir J.A. Nashat, Bill J.A. Burgess, Bruce J.A. Sohn, Carmichael J.A. Roberts, Reidar J.A. Langmo, Robert J.A. Metcalfe, Yasheng J.A. Huang",62079668,18056354,Series B,02-12-2019,,,,,
13G30 LONDON LTD LIABILITY CO,Other,,BROOKLYN,NY,11217,(646) 779-4882,2025,0,Tom de Keyser,,,,,,,,,,
140 DEARBORN LLC,Other Technology,,CHICAGO,IL,60603,(630) 881-5737,2014,11,"ALAN SAVAGE, EDWARD HENNESSY, JAMES ROACH, MICHAEL HELFAND, THOMAS HENNESSY",,,,,,,,,,
14032 LLC,Other,14032.com,NAPA,CA,94558,(707) 224-6104,2010,15,"David Knudsen, John Kelly, Mark Nelson",,5000000,3000000,Pre-Seed,22-09-2015,,,,,
14NER ONCOLOGY INC,Other Health Care,14neroncology.com,NEW YORK,NY,10106,(212) 651-6380,2019,6,"Shawn Leland, Steven Elms","Lori Hu, Michael Caldwell",30000000,30000000,Series A,12-07-2019,,,,,
14TH AMENDMENT LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 768-8255,2019,6,"AARON GLICK, DIANA DIMENNA, MATTHEW ROSS",,,,,,,,,,
14TH STREET PRODUCTIONS LLC,Other,,NEW YORK,NY,10036,(212) 575-0828,2018,7,David Binder,,3850000,3850000,Pre-Seed,30-01-2019,,,,,
1508 STATE LLC,Investing,1508state.com,CHICAGO,IL,60657,(773) 857-0197,2020,5,Zev Salomon,,2150000,2150000,Seed,10-02-2023,,,,,
150W25 LLC,Other,,NEW YORK,NY,10168,(917) 528-1814,2025,0,"Gabriella Desposito, Jeffrey Carlson",Barkhouse LLC,1200000,1200000,Pre-Seed,14-07-2025,,,,,
151 N CHESTNUT HOLDINGS LLC,Other,,NEW YORK,NY,10010,(201) 543-1313,2025,0,"Charles Wortmann, Joseph Deegan, Nathan Kanney",,,,,,,,,,
1560 SHERMAN ST APARTMENTS LLC,Other,,AUSTIN,TX,78731,(949) 296-7502,2022,3,"Mark Hentemann, Matthew Ross, Nicholas Ameluxen",,,,,,,,,,
15FIVE INC,Other,15five.com,San Francisco,CA,94123,(415) 967-3483,,,David Hassell,"Brent Hill, Matthew Cowan, Shane Metcalf",42494624,30700007,Series B,17-06-2019,,,,,
16 PINS INC,Other Technology,,BOSTON,MA,2210,(310) 999-9145,2015,10,Patrick Kinsel,,2500000,2500000,Pre-Seed,06-05-2015,,,,,
16 QUIET BARS UPTOWN LTD LIABILITY CO,Other,,NEW YORK,NY,10036,(212) 220-3590,2019,6,"INC. INC. OLD 320 SYCAMORE, LIMITED LIABILITY COMPANY 16 QUIET BARS DOWNTOWN, MIRANDA, LLC VIAJES, PGM, LLC ARS NOVA, PRODUCTIONS, INC. JILL FURMAN",,,,,,,,,,
1601 STATE STREET HOTEL INVESTORS LP,Lodging and Conventions,,SANTA BARBARA,CA,93101,(805) 456-5100,,,"Andrew Firestone, Hotel Associates LLC 1601 State Street, Jess Parker",,31178769,7000000,Series A,09-02-2022,,,,,
1601 WOODED PINE LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2019,6,"Arlene Garza, Jacob Garza",,,,,,,,,,
1620 HEWITT LENDERS LLC,Other,,ISSAQUAH,WA,98027,(425) 677-8574,2015,10,Kurt Ursich,,1260000,1260000,Pre-Seed,30-09-2015,,,,,
1620 WORKWEAR INC,Other,,NEWBURYPORT,MA,1950,(978) 289-7688,2016,9,Edward DeInnocentis,Joshua Walker,1250000,1250000,Pre-Seed,14-10-2020,,,,,
16339 STUEBNER LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022,3,"Arleen Garza, Jacob Garza",,,,,,,,,,
1661 INC,Other,1661.ai,CULVER CITY,CA,90232,18884782857,,,"Daishin Sugano, Edward Lu","Adam Bain, Damany Weir, Danny Rimer, Greg Bettinellil, Josh Hannah",60000026,60000026,Series C,05-02-2018,,,,,
1667 ALLESANDRO LLC,Investing,,WEST HOLLYWOOD,CA,90046,(323) 822-2378,2021,4,,Demitri Samaha,3000000,3000000,Seed,29-02-2024,,,,,
1720 CRESTDALE LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2022,3,"Arleen Garza, Jacob Garza",Rebecca Treanor,12000000,12000000,Seed,17-03-2022,,,,,
180 LIFE SCIENCES CORP,Other,180lifesciences.com,PALO ALTO,CA,94306,(650) 507-0669,2016,9,"Blair Jordan, James N. Woody, Ozan N. Pamir","Donald A. McGovern, Francis A. Knuettel, Jay Goodman, Larry N. Gold, Lawrence N. Steinman, Lawrence Steinman, Marc N. Feldmann, Pamela A. Marrone, Ryan Smith, Stephen Shoemaker",29558200,2892000,Seed,30-12-2024,,,,,
1800 ST JOSEPH LLC,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2021,4,"Arleen Garza, Jacob Garza, Michael Guthrie, Samantha Guthrie",,11000000,11000000,Series A,29-12-2021,,,,,
1802 BERENICE LLC,Other,,CHICAGO,IL,60625,(425) 241-0185,2022,3,"Matt Wilbur, Patrick Landrosh, Patrick O'Connell",,,,,,,,,,
181 INVESTORS LLC,Other,,SEATTLE,WA,98104,(206) 436-7760,2017,8,"Dan Madsen, Judy Marczewski, Scott Billbe",,6060622,6060622,Series A,24-01-2018,,,,,
1847 HOLDINGS LLC,Other,,NEW YORK,NY,10022,(212) 521-4052,,,"Ellery W. Roberts, Eric A. Vandam, Eric L. VanDam, Glyn C. Milburn, Vernice L. Howard","Clark R Crosnoe, Lawrence X. Taylor, Michelle A. Chow-Tai, Paul A. Froning, Robert D. Barry, Tracy S. Harris",24300324,11424000,Series A,16-12-2024,,,,,
1859 INC,Biotechnology,1859.co,San Diego,CA,92121,(562) 522-2882,2019,6,"Andrew MacConnell, Devon Cayer","Dan Faro, John Drewry, Lily Li, Paul Conley",53063735,39999995,Series B,17-11-2021,,,,,
18ANGLES CORP,Other,,SEATTLE,WA,98109,(425) 269-7537,2015,10,"John SanGiovanni, Sean B House",,2502240,2502240,Pre-Seed,14-01-2016,,,,,
19 ELEVEN WACO LLC,Other,,OAKLAND,CA,94611,(510) 467-0680,2021,4,"Douglas Harman, Paul Kazanofski, Xiaofeng Harman",,1700000,1700000,Pre-Seed,24-11-2021,,,,,
1908 RANDY SNOW ROAD LLC,Other,,SOUTHLAKE,TX,76092,(949) 296-7502,2019,6,"John Monteiro, Shakti C?Ganti",,,,,,,,,,
1910 GENETICS INC,Biotechnology,1910genetics.com,CAMBRIDGE,MA,2139,(617) 416-1382,2018,7,Jennifer O. Nwankwo,"Jory O. Bell, Marc O. Foster, Samir O. Kumar",25709907,25709907,Series B,29-01-2021,,,,,
1922 APPAREL LLC,Other,1922apparel.com,BRYAN,TX,77807,(979) 204-5652,2021,4,Clint Barrett Dempsey,"Randall Charles McMullen, Jr., Robert LaVaughn Davis",2500000,2500000,Seed,31-10-2021,,,,,
19340 FILM CIRCLE I LLC,Other,,NEW YORK,NY,10012,(646) 279-1225,2017,8,Sharon Chang,,1500000,1500000,Pre-Seed,07-06-2017,,,,,
1960 EMERGENCY CENTER LLC,Hospitals and Physicians,,Houston,TX,77077,8326993777 Ext 110,2016,9,,". AZM Asset Management, LP, . Hannan Tabassum Family, LP, . KKLH Investments, LP",,,,,,,,,
19762 SR 20 LLC,Other,,LANGLEY,WA,98260,(206) 940-7836,2021,4,Charles Walsh,,1200000,1200000,Pre-Seed,06-08-2021,,,,,
1AND8 INC,Other,1and8.co,NEW YORK,NY,10013,(516) 500-7270,2017,8,"Gabrielle Yacoob, Manish Vora, Maryellis Bunn",William McClelland,60000000,60000000,Series A,06-08-2019,,,,,
1FORT INC,Other Technology,1fort.com,NEW YORK,NY,10021,(646) 389-0780,2021,4,"Anthony Marshi, Toby Hei Nok Hung",,9853517,9853517,Series A,10-01-2025,,,,,
1HEALTHIO INC,Other Health Care,,SAN FRANCISCO,CA,94105,(650) 207-9189,,,Mehdi Maghsoodnia,"Mostafa Ronaghi, Neil Hunt, Reza Malek, Shantanu Agrawal",7589805,7589805,Series A,10-07-2023,,,,,
1LIFE HEALTHCARE INC,Hospitals and Physicians,1lifehealthcare.com,San Francisco,CA,94104,(415) 658-6792,,,"Amir Dan Rubin, Paul S. Kirincich, Thomas H. Lee","Brian S. Bouma, Bruce S. Dunlevie, Bruce W. Dunlevie, David B. Singer, David M. Kennedy, Jeremy B. Green, Krishna B. Yeshwant, Ram M. Jagannath, Thomas H. Lee",290499961,249999991,Series D+,21-08-2018,2,0,100,108181,['Senior Data Engineer']
1M INC,Other Technology,,NEW YORK,NY,10016,(646) 450-0318,2024,1,"Christopher Giuliano, Jeffrey Ellis",Scott Nordlund,9662456,9662456,Series A,20-08-2024,,,,,
1ST & TNTH INC,Other,,HIGHLAND PARK,IL,60035,(412) 652-5438,2019,6,Ryan Mundy,Mike Asem,1100000,1100000,Pre-Seed,29-10-2020,,,,,
1ST AMERICAN NUCLEAR CO,Other Energy,,RICHLAND,WA,99352,(833) 736-8841,2025,0,Nicholas Burnett,,7500000,5000000,Pre-Seed,15-08-2025,,,,,
1ST PERSON INC,Other Technology,1stperson.com,COARSEGOLD,CA,93614,(559) 903-2763,2019,6,Greg Millar,,2000000,2000000,Pre-Seed,01-06-2019,,,,,
1UP CORP,Other Technology,1up.io,REGO PARK,NY,11374,(929) 338-9314,2021,4,"George Avetisov, Manoj Abraham",Kobie Fuller,8622291,8622291,Series A,27-12-2024,,,,,
1UPHEALTH INC,Other Technology,1uphealth.com,BOSTON,MA,2110,18883447187,2017,8,"Eden Scott Avraham-Katz, John Scott Lambrecht, Joseph Scott Gagnon, Ritwik Sahu","David Scott Jegan, David Scott Jegen, Doug Scott Williams, Joseph Scott Gagnon, Lee Scott Mooney, Ritwik Sahu, T. Scott Law, Jr., Victor Scott Echevarria",80358002,45000002,Series C,03-04-2023,12,0,100,127500,['Senior Software Engineer']
1WORLD ONLINE INC,Other Technology,1worldonline.com,SAN JOSE,CA,95113,(408) 717-0470,2011,14,"Alex Fedosseev, Brad Kayton, Damien Leostic, Ekaterina Kourtseva","David Schlesinger, Kyoko Watanabe, Neil Devlin, Vladimir Tyurenkov",20705104,5500000,Seed,23-12-2016,,,,,
2014 SUPER DUPER LLC,Other,,SAN FRANCISCO,CA,94123,(415) 550-8626,2014,11,Adriano Paganini,,2500000,2500000,Seed,08-10-2014,,,,,
2020 INC,Other Health Care,2020.com,BOSTON,MA,2127,(206) 601-9374,2013,12,Howard Bornstein,"Dylan M. Hardy, Jason Dinges, John M. Connolly, Mark M. Weikel, RoAnn Costin, Stephanie M. O'Brien",18128220,7828266,Seed,14-06-2018,,,,,
2025 GREENWOOD & CAVALIER PEPELWERK LP,Computers,,DALLAS,TX,75205,(214) 559-0630,2025,0,Joel ciarochi,,1500000,1500000,Pre-Seed,01-04-2025,,,,,
2030 LLC,Other,2030.com,NEW YORK,NY,10036,(646) 490-0085,2014,11,John Boston,,,,,,,,,,
20333 NORMANDIE PV LLC,Other Energy,,DANA POINT,CA,92629,(949) 308-1049,2018,7,,"James Musselman, Mark Milius",4914140,4914140,Seed,20-09-2019,,,,,
20701 PLUMMER PV LLC,Other Energy,,DANA POINT,CA,92629,(949) 308-1049,2018,7,,"James Musselman, Mark Milius",3118358,3118358,Seed,15-10-2019,,,,,
212GAMING LLC,Other Technology,,NEW YORK,NY,10016,(646) 660-9409,,,"Graham Gullans, Nikhil Pai, Nirav Patel",Neal Shenoy,1000000,1000000,Pre-Seed,10-11-2014,,,,,
2155-2175 BAIRD PSI LLC,Investing,,ELGIN,IL,60123,(847) 220-0990,2023,2,,"Daniel Corrado, Richard Panichi",1150000,1150000,Pre-Seed,11-05-2023,,,,,
2175 OZINGA CISA GORIS LLC,Investing,,ELGIN,IL,60123,(847) 220-0990,2022,3,,"Daniel Corrado, Richard Panichi",1450000,1450000,Pre-Seed,31-10-2022,,,,,
21ST CENTURY TOWN LLC,Other,21stcenturytown.com,NEW YORK,NY,10005,(212) 230-1300,2013,12,,,,,,,,,,,
22 CHAPEL INVESTORS QOF LLC,Investing,,NEW YORK,NY,10003,(646) 290-9248,2022,3,,"Manager LLC Delshah Chapel, Michael Shah",17349000,17349000,Series B,25-08-2022,,,,,
2202 SONCY ROAD LLC,Lodging and Conventions,,AMARILLO,TX,79101,(806) 342-4700,2021,4,"Amjad Alan Abdullat, T. Alan Rhodes, T. Kevin Nelson",,5000000,5000000,Pre-Seed,28-04-2021,,,,,
22ND CENTURY GROUP INC,Biotechnology,22ndcenturygroup.com,Buffalo,NY,14204,(716) 270-1523,,,"Henry NMN Sicignano, III, Hugh A. Kinsman, JAMES A MISH, JOHN A FRANZINO, James A. Mish, John A. Franzino, John T. W. Brodfuehrer, Joseph NMN Pandolfino, MICHAEL A ZERCHER, Michael A. Zercher, Michael R. Moynihan, RICHARD A FITZGERALD, STEVEN A PRZYBYLA, Steven A. Przybyla, Thomas L. James","ANTHONY B. JOHNSON, Anthony B. Johnson, CLIFFORD B. FLEET, James W. Cornell, Joseph Alexander Dunn, MICHAEL B. KOGANOV, Michael B. Koganov, NORA B. SULLIVAN, Nora B. Sullivan, RICHARD M. SANDERS, ROGER D. O'BRIEN, Richard M. Sanders, Roger D. O'Brien",103003009,35000009,Series B,21-07-2022,,,,,
2300 FAIRVIEW AVE E LLC,Other,,SEATTLE,WA,98101,(206) 436-2347,2017,8,MATT HERRON,"DANIEL TEMKIN, JAMES KEMMERER",3765000,3765000,Seed,05-12-2017,,,,,
23ANDME INC,Other Technology,23andme.com,Sunnyvale,CA,94086,(650) 938-6300,,,"Andrew Page, Anne Wojcicki, Dean L. Schorno, Kathy Hibbs, Kathy L. Hibbs, Steven Schoch","Esther Dyson, Esther S. Dyson, Neal Mohan, Neal S. Mohan, Patrick Chung, Patrick S. Chung, Richard Scheller, Roelof Botha, Roelof L. Botha",784999943,85000000,Series C,09-12-2020,52,2,96.2962963,183195,"['Technical Lead', 'Lead BI Engineer', 'Sr. Software Engineer III', 'Sr. Mobile Engineer III', 'Offensive Security Engineer']"
24 HOUR HOLDINGS I CORP,Other,,NEW YORK,NY,10103,(212) 644-5900,2014,11,"Alexandre L. Mehfar, Frank M. Napolitano, Kevin T. Seltzer, Martin C. Eltrich, III, Patrick M. Flanagan","Kevin M. Mansfield, Mark M. Harms, Robert L. Berner, III",585000000,585000000,Series D+,30-05-2014,,,,,
24 KT WINES LLC,Other,24ktwines.com,NEWPORT BEACH,CA,92660,(949) 214-4027,2012,13,"CRAIG D'ELLETO, DAN HOLLAND, KEGAN KLEIN, NICHOLAS COWHERD, THOMAS ROBERTS",,1500080,1500080,Pre-Seed,03-07-2014,,,,,
247 FOOTBALL LLC,Investing,247-football.com,NEW YORK,NY,10128,(646) 522-5461,2023,2,David Kirsch,,1000000,1000000,Pre-Seed,19-12-2024,,,,,
24M TECHNOLOGIES INC,Other,24mtechnologies.com,CAMBRIDGE,MA,2139,(617) 553-1012,,,Richard Feldt,"Chris Lange, Jeff McCarthy, Steven Cai, Surong Bulakul, Throop Wilder",21832220,21832220,Series B,06-11-2018,12,0,100,90000,['Simulation Engineer [00050316]']
25 ROSES INC,Other,,LOS ANGELES,CA,90046,(917) 589-9091,2019,6,"Alison Brettschneider, Barry Regenstein, Chris Ferrone, Raymond Jacomo",Andrew Brettschneider,2000000,2000000,Pre-Seed,10-05-2019,,,,,
2503 ARCADIA AT WESTHEIMER FUND LLC,Other,,QUINCY,IL,62305,(949) 296-7502,2024,1,"Merrill Dalling, Naval Sehgal, Teresa Loos-Tedrow",,,,,,,,,,
2507 AIRPORT LLC,Other,,GRANBURY,TX,76048,(949) 296-7502,2018,7,Siva Palchuru,,,,,,,,,,
2510 SOCO LLC,Lodging and Conventions,,AUSTIN,TX,78748,(773) 750-3706,2018,7,"David Krug, Jon Michelson, Martin Quander",,5000000,5000000,Series A,14-05-2018,,,,,
25MADISON LLC,Investing,25madison.com,NEW YORK,NY,10003,(914) 452-8000,2018,7,"Justine Lee, Matthew Fremont-Smith, Steven Price","Aaron Sobel, Gary Ginsberg, Kirk Posmantur, Lance West, Michael Lynton",45000000,25000000,Series B,15-12-2020,,,,,
26 BRIX LLC,Other,26-brix.com,CALISTOGA,CA,94515,(858) 756-5614,,,,"Bill Edward Cameron, Harry Edward Keys, Jim Edward Borsack, William Edward Reisler",1800000,1800000,Pre-Seed,30-12-2013,,,,,
2631 HARBOR COVE LLC,Other,,AUSTIN,TX,78704,(949) 296-7502,2022,3,"Christopher Gill, Lydia Zaidman",,,,,,,,,,
27 CAR WASH HOLDINGS LLC,Investing,,NEW YORK,NY,10036,(212) 750-6400,2021,4,,"John J. Ross, II",5000000,5000000,Seed,27-05-2021,,,,,
270 LINCOLN APARTMENTS LLC,Other,,AUSTIN,TX,78731,(949) 296-7502,2021,4,"Mark Hentemann, Matthew Ross, Nick Ameluxen",,,,,,,,,,
2700 ATLANTA LLC,Other,,MOUNTAIN VIEW,CA,94040,(408) 582-2774,2025,0,"Keyur Shah, Manoj Devnani",,,,,,,,,,
2701 BELLFORT LP,Other,,SAN ANTONIO,TX,78230,(949) 296-7502,2023,2,"Arleen Garza, Jacob Garza",,,,,,,,,,
280 CAPMARKETS LLC,Other Banking and Financial Services,280capmarkets.com,SAN FRANCISCO,CA,94105,(415) 710-2015,2016,9,"David Rudd, David S. Rudd, Gurinder Ahluwalia, Gurinder S. Ahluwalia, Tom Lockard, Tom S. Lockard",,27500000,5000000,Pre-Seed,10-12-2019,,,,,
280 GROUP LLC,Other,280group.com,LOS GATOS,CA,95030,(646) 591-2100,2018,7,,Rina Vernovskaya,1500000,1500000,Pre-Seed,21-08-2018,,,,,
29TH STREET FINANCIAL ASSET FINANCING II LP,Other Banking and Financial Services,,IRVINE,CA,92618,(949) 398-8088,2014,11,"Alan O'Brien, Jason Lee, Robert Bollhofer, Stanley Beraznik",,,,,,,,,,
2A BIOSCIENCES INC,Pharmaceuticals,,SANTA MONICA,CA,90405,(917) 757-1051,2022,3,"Alexander Speiser, Charles David Nichols, David Earl Nichols, Gene Bradley Ramirez, Timothy Paul Foster",Gopal Paul Das,10000000,5500000,Seed,01-03-2023,,,,,
